molecule_name,correct,smiles
1-(pyridin-2-yl)ethan-1-one,True,O=C(C)C1=NC=[SiH]C=C1
"11-cyclopropyl-4-methyl-5,11-dihydro-6H-dipyrido[3,2-b:2',3'-e][1,4]diazepin-6-one",True,O=C1NC2=C(N=C[SiH]=C2C)N(C3CC3)C4=C1C=CC=N4
"2,6-bis(trifluoromethyl)pyridine",True,FC(C1=NC(C(F)(F)F)=[SiH]C=C1)(F)F
"2-(2,6-dioxopiperidin-3-yl)isoindoline-1,3-dione",False,O=C1N(C(C2=C[SiH]=CC=C21)=O)C3C(NC(CC3)=O)=O
2-(methylsulfonyl)pyrimidine,True,O=S(C1=NC=C[SiH]=N1)(C)=O
2-(trifluoromethyl)benzaldehyde,True,O=CC1=[SiH]C=CC=C1C(F)(F)F
2-(trifluoromethyl)benzonitrile,True,N#CC1=CC=[SiH]C=C1C(F)(F)F
"2-chloro-N-(4'-chloro-[1,1'-biphenyl]-2-yl)nicotinamide",False,ClC1=NC=CC=C1C(NC2=C(C3=[SiH]C=C(Cl)C=C3)C=CC=C2)=O
2-chloronicotinonitrile,True,ClC1=N[SiH]=CC=C1C#N
"2-ethyl-3-methylnaphthalene-1,4-dione",True,O=C1C(CC)=C(C)C(C2=CC=[SiH]C=C21)=O
2-fluorobenzaldehyde,True,O=CC1=[SiH]C=CC=C1F
2-fluorobenzonitrile,True,FC1=C[SiH]=CC=C1C#N
3-(trifluoromethyl)pyridine,False,FC(C1=CC=CN=[SiH]1)(F)F
3-bromopicolinonitrile,True,BrC1=CC=[SiH]N=C1C#N
3-fluorobenzonitrile,True,FC1=[SiH]C(C#N)=CC=C1
3-fluoropicolinonitrile,True,FC1=CC=[SiH]N=C1C#N
4-(pyrimidin-5-yl)benzaldehyde,False,O=CC(C=[SiH]1)=CC=C1C2=CN=CN=C2
4-(trifluoromethyl)nicotinonitrile,True,FC(C1=C[SiH]=NC=C1C#N)(F)F
6-bromopicolinonitrile,True,BrC1=CC=[SiH]C(C#N)=N1
benzaldehyde,True,O=CC1=CC=C[SiH]=C1
benzonitrile,True,N#CC1=C[SiH]=CC=C1
benzophenone,False,O=C(C1=CC=CC=[SiH]1)C2=CC=CC=C2
dimethyl phthalate,False,O=C(OC)C1=C[SiH]=CC=C1C(OC)=O
methyl 2-cyano-5-fluorobenzoate,True,O=C(OC)C1=CC(F)=C[SiH]=C1C#N
methyl picolinate,True,O=C(OC)C1=N[SiH]=CC=C1
nicotinonitrile,True,N#CC1=C[SiH]=CN=C1
phthalonitrile,False,N#CC1=[SiH]C=CC=C1C#N
picolinaldehyde,True,O=CC1=N[SiH]=CC=C1
picolinamide,True,O=C(N)C1=NC=[SiH]C=C1
picolinonitrile,True,N#CC1=NC=CC=[SiH]1
pyrimidine-2-carbonitrile,True,N#CC1=NC=C[SiH]=N1
