# "All scores of the run."
,value,score,CV,CV_col,model,target,mean,sem
0,0.9655172413793104,Acc_group,train,CV_0,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
1,0.9655172413793104,Acc_group,train,CV_1,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
2,0.9655172413793104,Acc_group,train,CV_2,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
3,0.9655172413793104,Acc_group,train,CV_3,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
4,0.9655172413793104,Acc_group,train,CV_4,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
5,0.9655172413793104,Acc_group,train,CV_5,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
6,0.9655172413793104,Acc_group,train,CV_6,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
7,0.9655172413793104,Acc_group,train,CV_7,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
8,0.9655172413793104,Acc_group,train,CV_8,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
9,0.9655172413793104,Acc_group,train,CV_9,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
10,0.9655172413793104,Acc_group,train,CV_10,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
11,0.9655172413793104,Acc_group,train,CV_11,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
12,0.9655172413793104,Acc_group,train,CV_12,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
13,0.9655172413793104,Acc_group,train,CV_13,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
14,0.9655172413793104,Acc_group,train,CV_14,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
15,0.9655172413793104,Acc_group,train,CV_15,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
16,0.9655172413793104,Acc_group,train,CV_16,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
17,0.9655172413793104,Acc_group,train,CV_17,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
18,0.9655172413793104,Acc_group,train,CV_18,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
19,0.9655172413793104,Acc_group,train,CV_19,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
20,0.9655172413793104,Acc_group,train,CV_20,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
21,0.9655172413793104,Acc_group,train,CV_21,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
22,0.9655172413793104,Acc_group,train,CV_22,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
23,0.9655172413793104,Acc_group,train,CV_23,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
24,0.9655172413793104,Acc_group,train,CV_24,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
25,1.0,Acc_group,train,CV_25,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
26,0.9655172413793104,Acc_group,train,CV_26,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
27,0.9655172413793104,Acc_group,train,CV_27,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
28,0.9655172413793104,Acc_group,train,CV_28,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
29,0.9655172413793104,Acc_group,train,CV_29,XGBC,classifier_Selection,0.9666666666666667,0.0011494252873563205
30,1.0,Acc_group,test,CV_0,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
31,1.0,Acc_group,test,CV_1,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
32,1.0,Acc_group,test,CV_2,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
33,1.0,Acc_group,test,CV_3,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
34,1.0,Acc_group,test,CV_4,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
35,1.0,Acc_group,test,CV_5,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
36,1.0,Acc_group,test,CV_6,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
37,1.0,Acc_group,test,CV_7,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
38,1.0,Acc_group,test,CV_8,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
39,1.0,Acc_group,test,CV_9,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
40,1.0,Acc_group,test,CV_10,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
41,1.0,Acc_group,test,CV_11,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
42,1.0,Acc_group,test,CV_12,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
43,1.0,Acc_group,test,CV_13,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
44,0.0,Acc_group,test,CV_14,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
45,1.0,Acc_group,test,CV_15,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
46,1.0,Acc_group,test,CV_16,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
47,1.0,Acc_group,test,CV_17,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
48,1.0,Acc_group,test,CV_18,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
49,1.0,Acc_group,test,CV_19,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
50,1.0,Acc_group,test,CV_20,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
51,1.0,Acc_group,test,CV_21,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
52,1.0,Acc_group,test,CV_22,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
53,1.0,Acc_group,test,CV_23,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
54,1.0,Acc_group,test,CV_24,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
55,0.0,Acc_group,test,CV_25,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
56,1.0,Acc_group,test,CV_26,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
57,1.0,Acc_group,test,CV_27,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
58,1.0,Acc_group,test,CV_28,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
59,1.0,Acc_group,test,CV_29,XGBC,classifier_Selection,0.9333333333333333,0.04632055558531008
